ID;Fecha;Estación;Hora;Ubicación;Provincia;Com_Autónoma;Lat;Long;Inds;Viva;Muerta;nd;Heridas;M_sex;H_sex;nd_sex;Adult;Juv;New;Emb;nd;DW;Algo. Int.;Apareamiento;Embarazo;Posible Emb;Parto;Agreg;Descanso;Estrés;Alimen;Otros;Fuente_tipo;Fuente;Rep;Link;Observaciones;
P_violacea_041;31/07/1987;Verano;nd;Barcelona;Barcelona;Cataluña;40,9167000;2,1666660;1;0;1;0;nd;0;0;1;0;0;0;0;1;nd;1;0;0;0;0;0;0;0;0;1;Database;GBIF;;;Colección ICM y fue capturada;
P_violacea_378;22/08/2005;Verano;nd;Vilassar de Mar;Barcelona;Cataluña;41,5024876;2,3951611;1;1;0;0;nd;0;0;1;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Com. Pers.;Jordi Ruiz-Olmo;;Jordi Ruiz-Olmo;Coords aproximadas;
P_violacea_379;27/07/2006;Verano;nd;Castelldefels;Barcelona;Cataluña;41,2636850;1,9758406;1;1;0;0;nd;0;0;1;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Com. Pers.;Jordi Ruiz-Olmo;;Jordi Ruiz-Olmo;Coords aproximadas;
P_violacea_380;31/08/2007;Verano;nd;Torredembarra;Tarragona;Cataluña;41,1405538;1,4074053;1;1;0;0;nd;0;0;1;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Com. Pers.;Jordi Ruiz-Olmo;;Jordi Ruiz-Olmo;Coords aproximadas;
P_violacea_381;02/09/2007;Otoño;nd;Creixell;Tarragona;Cataluña;41,1558007;1,4417468;1;1;0;0;nd;0;0;1;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Com. Pers.;Jordi Ruiz-Olmo;;Jordi Ruiz-Olmo;Coords aproximadas;
P_violacea_382;03/09/2007;Otoño;nd;Cubelles;Barcelona;Cataluña;41,2003114;1,6798339;1;1;0;0;nd;0;0;1;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Com. Pers.;Jordi Ruiz-Olmo;;Jordi Ruiz-Olmo;Coords aproximadas;
P_violacea_383;10/09/2007;Otoño;nd;Cubelles;Barcelona;Cataluña;41,2003114;1,6798339;1;1;0;0;nd;0;0;1;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Com. Pers.;Jordi Ruiz-Olmo;;Jordi Ruiz-Olmo;Coords aproximadas;
P_violacea_014;05/05/2011;Primavera;nd;;Málaga;Andalucía;36,3334000;-4,3398000;1;0;1;0;nd;0;0;1;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Database;GBIF;;;Fixed and preserved in alcohol;
P_violacea_142;21/07/2011;Verano;nd;San Agustín;Almería;Andalucía;36,6720668;-2,6606359;2;2;0;0;nd;1;1;0;2;0;0;0;0;nd;1;1;0;0;0;0;0;0;0;0;Database;Obsdelmar;;https://www.observadoresdelmar.es/Observations/1800306;Apareamiento;
P_violacea_194;22/08/2011;Verano;nd;Cala de la Media Luna;Almería;Andalucía;36,7302327;-2,1517176;1;1;0;0;No;0;0;1;1;0;0;0;0;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;YouTube;;https://www.youtube.com/watch?v=wCBtYuAlgLc&ab_channel=waljalapensacola;;
P_violacea_030;15/08/2012;Verano;nd;Torrevieja;Alicante;Comunidad Valenciana;38,0060000;-0,6494000;1;1;0;0;Si;0;0;1;0;0;1;0;0;nd;1;0;0;0;0;0;0;0;0;1;Database;Obsdelmar;;https://www.observadoresdelmar.es/Observations/213423;Es MUY pequeño y gran herida;
P_violacea_384;28/08/2012;Verano;nd;Castelldefels;Barcelona;Cataluña;41,2636850;1,9758406;1;1;0;0;nd;0;0;1;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Com. Pers.;Jordi Ruiz-Olmo;;Jordi Ruiz-Olmo;Coords aproximadas;
P_violacea_193;01/08/2013;Verano;nd;Platja del Cristall;Barcelona;Cataluña;41,4546926;2,2606424;1;1;0;0;nd;0;0;1;0;0;0;0;1;nd;0;0;0;0;0;0;0;0;0;0;Redes Sociales;YouTube;;https://www.youtube.com/watch?v=Mqcgv6MKX8M&ab_channel=Marcel%C2%B7l%C3%ADMiret;;
P_violacea_042;20/08/2013;Verano;nd;Islas Columbretes;Castellón;Comunidad Valenciana;39,8900472;0,6689506;1;1;0;0;Si;0;1;0;1;0;0;0;0;nd;1;0;1;0;0;0;0;0;0;0;Redes Sociales;YouTube;;https://www.youtube.com/watch?v=FTKvVXQBYJ8;Parece que está embarazada!;
